step,item_id,spread_count,total_agents,spread_fraction,avg_belief,min_belief,max_belief
1,0,3,50,0.06,0.5689,0.2315,0.8821
1,1,4,50,0.08,0.5973,0.4387,0.6762
2,0,7,50,0.14,0.5447,0.2315,0.8821
2,1,7,50,0.14,0.4628,0.0646,0.6762
3,0,10,50,0.2,0.5751,0.2315,0.8821
3,1,13,50,0.26,0.3986,0.0646,0.6762
4,0,13,50,0.26,0.5462,0.2315,0.8821
4,1,22,50,0.44,0.3846,0.0646,0.6762
5,0,15,50,0.3,0.5458,0.206,0.8821
5,1,33,50,0.66,0.3842,0.0276,0.7994
6,0,20,50,0.4,0.5463,0.206,0.8821
6,1,42,50,0.84,0.4033,0.0276,0.7994
7,0,25,50,0.5,0.5194,0.206,0.851
7,1,49,50,0.98,0.4372,0.0276,0.851
8,0,31,50,0.62,0.511,0.206,0.851
8,1,50,50,1.0,0.4613,0.0276,0.851
9,0,36,50,0.72,0.5185,0.206,0.851
9,1,50,50,1.0,0.481,0.0276,0.851
10,0,45,50,0.9,0.5251,0.206,0.851
10,1,50,50,1.0,0.5134,0.0276,0.851
11,0,47,50,0.94,0.5299,0.206,0.851
11,1,50,50,1.0,0.5241,0.0276,0.851
12,0,49,50,0.98,0.5257,0.1861,0.851
12,1,50,50,1.0,0.5306,0.1861,0.851
13,0,50,50,1.0,0.5313,0.1861,0.851
13,1,50,50,1.0,0.5313,0.1861,0.851
14,0,50,50,1.0,0.5313,0.1861,0.851
14,1,50,50,1.0,0.5313,0.1861,0.851
15,0,50,50,1.0,0.5313,0.1861,0.851
15,1,50,50,1.0,0.5313,0.1861,0.851
