agent_id,belief,bias,trust_radius,skepticism,received_count,shared_count,is_origin
0,0.1931,0.6962,0.1439,0.4625,2,5,
1,0.6198,0.793,0.4532,0.4983,2,2,
2,0.2311,0.4324,0.3724,0.8523,2,3,True
3,0.5122,0.7553,0.4341,0.1762,2,1,
4,0.7344,0.8202,0.3759,0.0957,2,3,
5,0.466,0.496,0.7723,0.5972,2,0,
6,0.4367,0.5752,0.3769,0.0489,2,6,
7,0.0989,0.9419,0.8391,0.2962,2,2,
8,0.6878,0.5223,0.103,0.8557,2,1,
9,0.5758,0.9328,0.6793,0.0941,2,0,
10,0.5968,0.7869,0.8989,0.3313,2,1,
11,0.5308,0.7012,0.1668,0.8484,2,0,
12,0.7191,0.0501,0.5914,0.3681,2,2,
13,0.3516,0.6045,0.9692,0.552,2,4,
14,0.314,0.4949,0.7791,0.9552,2,2,
15,0.678,0.0413,0.9666,0.6019,2,1,
16,0.5157,0.1272,0.0862,0.6648,2,2,
17,0.2417,0.8075,0.1089,0.5352,2,1,
18,0.5882,0.038,0.0025,0.9035,2,2,False
19,0.7269,0.1243,0.7346,0.9892,2,2,
20,0.8534,0.885,0.3376,0.7173,2,5,
21,0.4987,0.9373,0.703,0.8437,2,1,
22,0.6949,0.3856,0.7124,0.093,2,5,
23,0.2284,0.9366,0.4047,0.685,2,3,
24,0.5883,0.2603,0.5863,0.9125,2,2,
25,0.3428,0.347,0.1858,0.1778,2,1,
26,0.7347,0.7062,0.965,0.6697,2,0,
27,0.396,0.2219,0.1878,0.2165,2,2,
28,0.3855,0.9896,0.2249,0.4583,2,0,
29,0.5763,0.0272,0.5458,0.6132,2,0,
30,0.5107,0.9147,0.861,0.9511,2,3,
31,0.5965,0.2635,0.1299,0.7642,2,0,
32,0.8078,0.0061,0.6992,0.1245,2,5,
33,0.2575,0.201,0.4251,0.0147,2,2,
34,0.3391,0.3284,0.2611,0.1339,2,3,
35,0.503,0.6926,0.1997,0.0438,2,3,
36,0.3318,0.6993,0.2733,0.6475,2,0,
37,0.2318,0.7033,0.1422,0.2233,2,2,
38,0.5138,0.4751,0.6404,0.2861,2,1,
39,0.6389,0.299,0.4809,0.4441,2,2,
40,0.8162,0.7522,0.5485,0.8454,2,2,
41,0.5871,0.7238,0.518,0.5751,2,1,
42,0.2345,0.9307,0.6392,0.8196,2,2,
43,0.6321,0.0248,0.1082,0.8818,2,3,
44,0.6723,0.9044,0.8935,0.2314,2,0,
45,0.7417,0.6107,0.73,0.5166,2,2,
46,0.3483,0.486,0.4621,0.2972,2,1,
47,0.363,0.4428,0.2667,0.1393,2,0,
48,0.5729,0.3582,0.3648,0.7834,2,2,
49,0.5572,0.4475,0.3096,0.796,2,5,
