step,item_id,spread_count,total_agents,spread_fraction,avg_belief,min_belief,max_belief
1,0,3,50,0.06,0.4033,0.2175,0.7032
1,1,2,50,0.04,0.5598,0.2697,0.85
2,0,5,50,0.1,0.5338,0.2175,0.8388
2,1,5,50,0.1,0.4293,0.0922,0.85
3,0,8,50,0.16,0.5765,0.2175,0.8388
3,1,10,50,0.2,0.4078,0.0922,0.85
4,0,12,50,0.24,0.6221,0.2175,0.8589
4,1,17,50,0.34,0.3978,0.0922,0.85
5,0,19,50,0.38,0.5622,0.1931,0.8589
5,1,27,50,0.54,0.4088,0.0922,0.85
6,0,28,50,0.56,0.4795,0.0989,0.9212
6,1,44,50,0.88,0.4183,0.0846,0.8534
7,0,38,50,0.76,0.4811,0.0989,0.8534
7,1,50,50,1.0,0.4638,0.0846,0.8534
8,0,43,50,0.86,0.4954,0.0989,0.8534
8,1,50,50,1.0,0.4752,0.0846,0.8534
9,0,49,50,0.98,0.5061,0.0989,0.8534
9,1,50,50,1.0,0.507,0.0989,0.8534
10,0,50,50,1.0,0.5075,0.0989,0.8534
10,1,50,50,1.0,0.5075,0.0989,0.8534
11,0,50,50,1.0,0.5075,0.0989,0.8534
11,1,50,50,1.0,0.5075,0.0989,0.8534
12,0,50,50,1.0,0.5075,0.0989,0.8534
12,1,50,50,1.0,0.5075,0.0989,0.8534
13,0,50,50,1.0,0.5075,0.0989,0.8534
13,1,50,50,1.0,0.5075,0.0989,0.8534
14,0,50,50,1.0,0.5075,0.0989,0.8534
14,1,50,50,1.0,0.5075,0.0989,0.8534
15,0,50,50,1.0,0.5075,0.0989,0.8534
15,1,50,50,1.0,0.5075,0.0989,0.8534
